function name,function signature,stereotypes,filename,archive line number,file line number,class defined within
XmlTestTools::parseXml,xmlDocPtr XmlTestTools::parseXml(utl::TempFile& aTempFile),"non-void-command,collaborator,unclassified,execution_tester",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,21,20,
XmlTestTools::parseXmlStream,xmlDocPtr XmlTestTools::parseXmlStream(SvStream* pStream),"non-void-command,collaborator,unclassified,execution_tester",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,27,26,
XmlTestTools::getXPathNode,"xmlXPathObjectPtr XmlTestTools::getXPathNode(xmlDocPtr pXmlDoc, const OString& rXPath)","non-void-command,collaborator,unclassified,execution_tester,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,36,35,
XmlTestTools::registerNamespaces,void XmlTestTools::registerNamespaces(xmlXPathContextPtr& /*pXmlXpathCtx*/),"collaborator,empty,unclassified",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,45,44,
XmlTestTools::getXPath,"OUString XmlTestTools::getXPath(xmlDocPtr pXmlDoc, const OString& rXPath, const OString& rAttribute)","non-void-command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,49,48,
XmlTestTools::getXPathContent,"OUString XmlTestTools::getXPathContent(xmlDocPtr pXmlDoc, const OString& rXPath)","non-void-command,collaborator,boolean_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,65,64,
XmlTestTools::assertXPath,"void XmlTestTools::assertXPath(xmlDocPtr pXmlDoc, const OString& rXPath, const OString& rAttribute, const OUString& rExpectedValue)","command,collaborator,equality_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,79,78,
XmlTestTools::assertXPath,"void XmlTestTools::assertXPath(xmlDocPtr pXmlDoc, const OString& rXPath, int nNumberOfNodes)","command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,86,85,
XmlTestTools::assertXPathContent,"void XmlTestTools::assertXPathContent(xmlDocPtr pXmlDoc, const OString& rXPath, const OUString& rContent)","command,collaborator,equality_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,95,94,
XmlTestTools::assertXPathChildren,"void XmlTestTools::assertXPathChildren(xmlDocPtr pXmlDoc, const OString& rXPath, int nNumberOfChildNodes)","command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,100,99,
XmlTestTools::assertXPathNoAttribute,"void XmlTestTools::assertXPathNoAttribute(xmlDocPtr pXmlDoc, const OString& rXPath, const OString& rAttribute)","command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,118,117,
XmlTestTools::getXPathPosition,"int XmlTestTools::getXPathPosition(xmlDocPtr pXmlDoc, const OString& rXPath, const OUString& rChildName)","non-void-command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,130,129,
test::BootstrapFixture::setUp,void test::BootstrapFixture::setUp(),"command,collaborator,test_initializer,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/bootstrapfixture.cpp,114,113,
test::BootstrapFixture::tearDown,void test::BootstrapFixture::tearDown(),"command,collaborator,stateless,test_cleaner",sampleFiles/libreoffice-distrotech/cpp files/bootstrapfixture.cpp,121,120,
test::BootstrapFixture::validate,"void test::BootstrapFixture::validate(const OUString& rPath, test::ValidationFormat eFormat )","command,collaborator,equality_verifier,utility_verifier,hybrid_verifier,branch_verifier,api_utility_verifier,public_field_verifier",sampleFiles/libreoffice-distrotech/cpp files/bootstrapfixture.cpp,152,151,
UnoApiTest::setUp,void UnoApiTest::setUp(),"command,collaborator,boolean_verifier,test_initializer",sampleFiles/libreoffice-distrotech/cpp files/unoapi_test.cpp,25,24,
UnoApiTest::tearDown,void UnoApiTest::tearDown(),"command,collaborational-command,collaborator,stateless,test_cleaner",sampleFiles/libreoffice-distrotech/cpp files/unoapi_test.cpp,33,32,
UnoApiTest::createFileURL,"void UnoApiTest::createFileURL(const OUString& aFileBase, OUString& rFilePath)","command,collaborator,stateless,unclassified",sampleFiles/libreoffice-distrotech/cpp files/unoapi_test.cpp,38,37,
UnoApiTest::closeDocument,void UnoApiTest::closeDocument( uno::Reference< lang::XComponent > xDocument ),"command,collaborator,stateless,unclassified",sampleFiles/libreoffice-distrotech/cpp files/unoapi_test.cpp,43,42,
CalcUnoApiTest::setUp,void CalcUnoApiTest::setUp(),"command,collaborator,boolean_verifier,test_initializer",sampleFiles/libreoffice-distrotech/cpp files/calc_unoapi_test.cpp,21,20,
CalcUnoApiTest::tearDown,void CalcUnoApiTest::tearDown(),"command,collaborator,test_cleaner",sampleFiles/libreoffice-distrotech/cpp files/calc_unoapi_test.cpp,32,31,
quick_sanity_test,void quick_sanity_test(),"command,collaborator,boolean_verifier,api_utility_verifier,public_field_verifier",sampleFiles/No-Reference-Image-Quality-Assessment/test_computescore.cpp,18,17,test_computescore
testBasic,void testBasic(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/ephemeris_line_test.cpp,36,35,EphemerisLineTest
operator(),void operator()(),"command,collaborator,unclassified,execution_tester,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/socket_server_test.cpp,44,43,SocketServerTest::EchoServer
testEcho,void testEcho(),"command,collaborator,boolean_verifier,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/socket_server_test.cpp,63,62,SocketServerTest
testFind,void testFind(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/timetree_test.cpp,32,31,TimeTreeTest
setUp,void setUp(),"command,collaborator,test_initializer,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/jd_test.cpp,34,33,JdTest
tearDown,void tearDown(),"command,collaborator,test_cleaner,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/jd_test.cpp,44,43,JdTest
testJd,void testJd(),"command,collaborator,boolean_verifier,api_utility_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/jd_test.cpp,51,50,JdTest
testTwoPoints,void testTwoPoints(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/ephemeris_cache.cpp,32,31,EphemerisCacheTest
operator(),void operator()(EphemerisLine *value),"collaborator,unclassified",sampleFiles/fr_demo-master/cpp files/sp3_reader_test.cpp,32,31,Sp3ReaderTest::MyTimeTreeDeallocator
setUp,void setUp(),"command,collaborator,test_initializer",sampleFiles/fr_demo-master/cpp files/sp3_reader_test.cpp,51,50,Sp3ReaderTest
tearDown,void tearDown(),"command,collaborator,test_cleaner",sampleFiles/fr_demo-master/cpp files/sp3_reader_test.cpp,59,58,Sp3ReaderTest
notify,"void notify(EphemerisLine &data, std::string &satelliteName)","command,collaborator,unclassified,execution_tester",sampleFiles/fr_demo-master/cpp files/sp3_reader_test.cpp,68,67,Sp3ReaderTest
retrieveAndCheck,"bool retrieveAndCheck(std::string satellite, int year, int month, int day, int hour, int min, int sec, EphemerisLine expected)","command,collaborator,unclassified,execution_tester,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/sp3_reader_test.cpp,91,90,Sp3ReaderTest
checkSomeLines,void checkSomeLines(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/sp3_reader_test.cpp,123,122,Sp3ReaderTest
setUp,void setUp(),"collaborator,empty,test_initializer",sampleFiles/fr_demo-master/cpp files/btree_test.cpp,35,34,BtreeTest
tearDown,void tearDown(),"collaborator,empty,test_cleaner",sampleFiles/fr_demo-master/cpp files/btree_test.cpp,36,35,BtreeTest
testAdd,void testAdd(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/btree_test.cpp,39,38,BtreeTest
testRemove,void testRemove(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/btree_test.cpp,52,51,BtreeTest
testFindRange,void testFindRange(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/btree_test.cpp,68,67,BtreeTest
testBalance,void testBalance(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/btree_test.cpp,84,83,BtreeTest
getTestTime,"time_t getTestTime(int year, int month, int day, int hours, int minutes, int seconds)","nonconstget,non-void-command,collaborator,unclassified,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/gmst_test.cpp,35,34,GmstTest
roughlyEqual,"bool roughlyEqual(double a, double b)","collaborator,unclassified",sampleFiles/fr_demo-master/cpp files/gmst_test.cpp,50,49,GmstTest
expected,"bool expected(Gmst &check, double hours, double minutes, double seconds)","command,collaborator,unclassified,execution_tester",sampleFiles/fr_demo-master/cpp files/gmst_test.cpp,55,54,GmstTest
setUp,void setUp(),"command,collaborator,test_initializer,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/gmst_test.cpp,67,66,GmstTest
tearDown,void tearDown(),"command,collaborator,test_cleaner,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/gmst_test.cpp,74,73,GmstTest
testGmst,void testGmst(),"command,collaborator,boolean_verifier",sampleFiles/fr_demo-master/cpp files/gmst_test.cpp,84,83,GmstTest
testCoordinates,void testCoordinates(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/coordinates_test.cpp,30,29,CoordinatesTest
FieldTest::setUp,void FieldTest::setUp(),"collaborator,empty,test_initializer",sampleFiles/UnitTestris-master/cpp files/FieldTest.cpp,8,7,
FieldTest::tearDown,void FieldTest::tearDown(),"collaborator,empty,test_cleaner",sampleFiles/UnitTestris-master/cpp files/FieldTest.cpp,12,11,
FieldTest::testConstructor0,void FieldTest::testConstructor0(),"command,collaborator,boolean_verifier,iterative_verifier",sampleFiles/UnitTestris-master/cpp files/FieldTest.cpp,17,16,
FieldTest::testConstructor1,void FieldTest::testConstructor1(),"command,collaborator,boolean_verifier,exception_verifier,hybrid_verifier,branch_verifier,iterative_verifier",sampleFiles/UnitTestris-master/cpp files/FieldTest.cpp,34,33,
FieldTest::testConstructor2,void FieldTest::testConstructor2(),"command,collaborator,boolean_verifier,exception_verifier,hybrid_verifier,branch_verifier,iterative_verifier",sampleFiles/UnitTestris-master/cpp files/FieldTest.cpp,125,124,
FieldTest::testSet,void FieldTest::testSet(),"command,collaborator,boolean_verifier,exception_verifier,hybrid_verifier,branch_verifier,iterative_verifier,public_field_verifier",sampleFiles/UnitTestris-master/cpp files/FieldTest.cpp,299,298,
FieldTest::testFieldScore,void FieldTest::testFieldScore(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/UnitTestris-master/cpp files/FieldTest.cpp,375,374,
TetrisGameTest::setUp,void TetrisGameTest::setUp(),"command,collaborational-command,collaborator,stateless,test_initializer",sampleFiles/UnitTestris-master/cpp files/TetrisGameTest.cpp,25,24,
TetrisGameTest::tearDown,void TetrisGameTest::tearDown(),"collaborator,test_cleaner",sampleFiles/UnitTestris-master/cpp files/TetrisGameTest.cpp,30,29,
TetrisGameTest::testNewDelete,void TetrisGameTest::testNewDelete(),"collaborator,unclassified",sampleFiles/UnitTestris-master/cpp files/TetrisGameTest.cpp,39,38,
TetrisGameTest::testRunCallback,void TetrisGameTest::testRunCallback(),"command,collaborator,boolean_verifier,no_exception_verifier,hybrid_verifier",sampleFiles/UnitTestris-master/cpp files/TetrisGameTest.cpp,59,58,
TetrisGameTest::whitebox_testRunCallback,void TetrisGameTest::whitebox_testRunCallback(),"command,collaborator,boolean_verifier",sampleFiles/UnitTestris-master/cpp files/TetrisGameTest.cpp,109,108,
TetrisGameTest::whitebox_testInput,void TetrisGameTest::whitebox_testInput(),"command,collaborator,boolean_verifier",sampleFiles/UnitTestris-master/cpp files/TetrisGameTest.cpp,123,122,
TetrisGameTest::testExceptions,void TetrisGameTest::testExceptions(),"command,collaborator,exception_verifier,public_field_verifier",sampleFiles/UnitTestris-master/cpp files/TetrisGameTest.cpp,147,146,
TetrisGameTest::dummyRenderCallback,"void TetrisGameTest::dummyRenderCallback(const Field &afield, const Piece & curr, 
					 const Piece * ghost)","collaborator,unclassified",sampleFiles/UnitTestris-master/cpp files/TetrisGameTest.cpp,162,161,
IntegrationTest::setUp,void IntegrationTest::setUp(),"collaborator,empty,test_initializer",sampleFiles/UnitTestris-master/cpp files/IntegrationTest.cpp,11,10,
IntegrationTest::tearDown,void IntegrationTest::tearDown(),"collaborator,empty,test_cleaner",sampleFiles/UnitTestris-master/cpp files/IntegrationTest.cpp,15,14,
IntegrationTest::testError1,void IntegrationTest::testError1(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/UnitTestris-master/cpp files/IntegrationTest.cpp,19,18,
PieceTest::setUp,void PieceTest::setUp(),"command,collaborational-command,collaborator,stateless,test_initializer",sampleFiles/UnitTestris-master/cpp files/PieceTest.cpp,51,50,
PieceTest::tearDown,void PieceTest::tearDown(),"collaborator,empty,test_cleaner",sampleFiles/UnitTestris-master/cpp files/PieceTest.cpp,56,55,
PieceTest::testConstructor,void PieceTest::testConstructor(),"command,collaborator,boolean_verifier",sampleFiles/UnitTestris-master/cpp files/PieceTest.cpp,60,59,
PieceTest::testStep,void PieceTest::testStep(),"command,collaborator,boolean_verifier,exception_verifier,no_exception_verifier,hybrid_verifier,iterative_verifier,api_utility_verifier",sampleFiles/UnitTestris-master/cpp files/PieceTest.cpp,186,185,
PieceTest::testShift,void PieceTest::testShift(),"command,collaborator,boolean_verifier,exception_verifier,hybrid_verifier",sampleFiles/UnitTestris-master/cpp files/PieceTest.cpp,386,385,
PieceTest::testRotate,void PieceTest::testRotate(),"command,collaborator,boolean_verifier,exception_verifier,hybrid_verifier",sampleFiles/UnitTestris-master/cpp files/PieceTest.cpp,631,630,
PieceTest::testDrop,void PieceTest::testDrop(),"command,collaborator,boolean_verifier,exception_verifier,hybrid_verifier,iterative_verifier,api_utility_verifier",sampleFiles/UnitTestris-master/cpp files/PieceTest.cpp,1884,1883,
sphinx_audio_cb,"void sphinx_audio_cb(std::string word, float64 confidence, std::vector<std::string> *word_vector, std::vector<float64> *confidence_vector)","command,collaborator,unclassified",sampleFiles/media-master/cpp files/sphinx_audio.cpp,35,34,sphinx_audio_test
test_hello_world,void test_hello_world(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/media-master/cpp files/sphinx_audio.cpp,47,46,sphinx_audio_test
audio_cb,void audio_cb(AVFrame *),"collaborator,unclassified",sampleFiles/media-master/cpp files/decoder_test.cpp,35,34,test_helper
video_cb,void video_cb(AVFrame *),"collaborator,unclassified",sampleFiles/media-master/cpp files/decoder_test.cpp,40,39,test_helper
audio_available_cb,void audio_available_cb(AVFrame *frame) override,"command,collaborator,unclassified",sampleFiles/media-master/cpp files/decoder_test.cpp,57,56,test_helper::audio_helper
video_available_cb,void video_available_cb(AVFrame *frame) override,"command,collaborator,unclassified",sampleFiles/media-master/cpp files/decoder_test.cpp,76,75,test_helper::video_helper
other_available_cb,"void other_available_cb(AVFrame *frame, AVMediaType m)","collaborator,unclassified",sampleFiles/media-master/cpp files/decoder_test.cpp,85,84,test_helper
create,static pointer create(),"non-void-command,collaborational-command,collaborator,stateless,unclassified",sampleFiles/media-master/cpp files/decoder_test.cpp,96,95,test_helper
subscribe,void subscribe(fr::media::decoder_interface *that) override,"command,collaborator,unclassified,execution_tester",sampleFiles/media-master/cpp files/decoder_test.cpp,116,115,test_helper
count_packets,void count_packets(),"command,collaborator,boolean_verifier",sampleFiles/media-master/cpp files/decoder_test.cpp,134,133,decoder_test
destroy_listener_before_decoder,void destroy_listener_before_decoder(),"command,collaborator,boolean_verifier",sampleFiles/media-master/cpp files/decoder_test.cpp,155,154,decoder_test
create,static pointer create(),"non-void-command,collaborational-command,collaborator,stateless,unclassified",sampleFiles/media-master/cpp files/audio_resampler_test.cpp,51,50,test_receiver
audio_available_cb,void audio_available_cb(AVFrame *frame) override,"command,collaborator,boolean_verifier",sampleFiles/media-master/cpp files/audio_resampler_test.cpp,58,57,test_receiver
basic_resample_test,void basic_resample_test(),"command,collaborator,boolean_verifier",sampleFiles/media-master/cpp files/audio_resampler_test.cpp,96,95,audio_resampler_test
motion_detected,"void motion_detected(cv::Mat frame, size_t frame_time, std::vector<std::vector<cv::Point>> contours, size_t &last_saved, bool &motion_detected)","command,collaborator,unclassified,execution_tester",sampleFiles/media-master/cpp files/static_bg_motion_detector_test.cpp,39,38,static_bg_motion_detector_test
basic_motion_test,void basic_motion_test(),"command,collaborator,boolean_verifier",sampleFiles/media-master/cpp files/static_bg_motion_detector_test.cpp,64,63,static_bg_motion_detector_test
cv_frame_available_cb,void cv_frame_available_cb(cv::Mat frame),"command,collaborator,unclassified,execution_tester",sampleFiles/media-master/cpp files/frame2cv_test.cpp,38,37,frame2cv_test
timing_available_cb,void timing_available_cb(cv::Mat frame),"collaborator,unclassified",sampleFiles/media-master/cpp files/frame2cv_test.cpp,51,50,frame2cv_test
save_images_test,void save_images_test(),"command,collaborator,boolean_verifier",sampleFiles/media-master/cpp files/frame2cv_test.cpp,60,59,frame2cv_test
timing_test,void timing_test(),"command,collaborator,boolean_verifier",sampleFiles/media-master/cpp files/frame2cv_test.cpp,76,75,frame2cv_test
CreditCardTest:: setUp,void CreditCardTest:: setUp(),"collaborator,test_initializer",sampleFiles/FinanceTech-master/cpp files/CreditCardTest.cpp,28,27,
CreditCardTest::tearDown,void CreditCardTest::tearDown(),"collaborator,empty,test_cleaner",sampleFiles/FinanceTech-master/cpp files/CreditCardTest.cpp,51,50,
CreditCardTest :: constructorTest1,void CreditCardTest :: constructorTest1(),"collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/CreditCardTest.cpp,65,64,
CreditCardTest :: constructorTest2,void CreditCardTest :: constructorTest2(),"collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/CreditCardTest.cpp,79,78,
CreditCardTest :: constructorTest3,void CreditCardTest :: constructorTest3(),"collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/CreditCardTest.cpp,93,92,
CreditCardTest :: constructorTest4,void CreditCardTest :: constructorTest4(),"collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/CreditCardTest.cpp,107,106,
CreditCardTest :: constructorTest5,void CreditCardTest :: constructorTest5(),"collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/CreditCardTest.cpp,119,118,
CreditCardTest :: constructorTest6,void CreditCardTest :: constructorTest6(),"collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/CreditCardTest.cpp,131,130,
UserTest::setUp,void UserTest::setUp(),"collaborator,test_initializer",sampleFiles/FinanceTech-master/cpp files/UserTest.cpp,14,13,
UserTest::tearDown,void UserTest::tearDown(),"collaborator,test_cleaner",sampleFiles/FinanceTech-master/cpp files/UserTest.cpp,28,27,
UserTest::editNullAccountTest,void UserTest::editNullAccountTest(),"command,collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/UserTest.cpp,56,55,
UserTest::deleteCustomerNoExistTest,void UserTest::deleteCustomerNoExistTest(),"command,collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/UserTest.cpp,62,61,
UserTest::openAccountInvalidIDTest,void UserTest::openAccountInvalidIDTest(),"command,collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/UserTest.cpp,68,67,
UserTest::closeAccountNoExistTest,void UserTest::closeAccountNoExistTest(),"command,collaborator,exception_verifier",sampleFiles/FinanceTech-master/cpp files/UserTest.cpp,74,73,
UserTest::writeTest,void UserTest::writeTest(),"command,collaborator,stateless,boolean_verifier",sampleFiles/FinanceTech-master/cpp files/UserTest.cpp,81,80,
UserTest::readTest,void UserTest::readTest(),"command,collaborator,stateless,boolean_verifier",sampleFiles/FinanceTech-master/cpp files/UserTest.cpp,87,86,
UserListTest::setUp,void UserListTest::setUp(),"command,collaborational-command,collaborator,stateless,test_initializer",sampleFiles/FinanceTech-master/cpp files/UserListTest.cpp,11,10,
UserListTest::searchFoundTest,void UserListTest::searchFoundTest(),"command,collaborator,boolean_verifier",sampleFiles/FinanceTech-master/cpp files/UserListTest.cpp,19,18,
UserListTest::searchNotFoundTest,void UserListTest::searchNotFoundTest(),"command,collaborator,boolean_verifier",sampleFiles/FinanceTech-master/cpp files/UserListTest.cpp,27,26,
UserListTest::singletonTest,void UserListTest::singletonTest(),"command,collaborator,boolean_verifier",sampleFiles/FinanceTech-master/cpp files/UserListTest.cpp,33,32,
notify,void notify(int signo),"collaborator,unclassified",sampleFiles/signal_handler-master/signal_handler_test.cpp,35,34,signal_handler_test
basic_test,void basic_test(),"command,collaborator,boolean_verifier,api_utility_verifier",sampleFiles/signal_handler-master/signal_handler_test.cpp,57,56,signal_handler_test
shutdown_restart_test,void shutdown_restart_test(),"command,collaborator,boolean_verifier,api_utility_verifier",sampleFiles/signal_handler-master/signal_handler_test.cpp,82,81,signal_handler_test
ObjectStorageTest::test_basics,"void
ObjectStorageTest::test_basics()","command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/rtorrent-master/cpp files/object_storage_test.cpp,11,10,
ObjectStorageTest::test_conversions,"void
ObjectStorageTest::test_conversions()","command,collaborator,boolean_verifier",sampleFiles/rtorrent-master/cpp files/object_storage_test.cpp,37,36,
ObjectStorageTest::test_validate_keys,"void
ObjectStorageTest::test_validate_keys()","collaborator,unclassified",sampleFiles/rtorrent-master/cpp files/object_storage_test.cpp,49,48,
ObjectStorageTest::test_access,"void
ObjectStorageTest::test_access()","command,collaborator,boolean_verifier",sampleFiles/rtorrent-master/cpp files/object_storage_test.cpp,60,59,
CommandTest::test_stack,"void
CommandTest::test_stack()","command,collaborator,boolean_verifier",sampleFiles/rtorrent-master/cpp files/command_test.cpp,14,13,
CommandTest::test_stack_double,"void
CommandTest::test_stack_double()","command,collaborator,boolean_verifier",sampleFiles/rtorrent-master/cpp files/command_test.cpp,53,52,
CommandMapTest::test_basics,"void
CommandMapTest::test_basics()","command,collaborator,boolean_verifier,api_utility_verifier",sampleFiles/rtorrent-master/cpp files/command_map_test.cpp,22,21,
CommandDynamicTest::setUp,"void
CommandDynamicTest::setUp()","command,collaborator,test_initializer,api_utility_verifier",sampleFiles/rtorrent-master/cpp files/command_dynamic_test.cpp,20,19,
CommandDynamicTest::test_basics,"void
CommandDynamicTest::test_basics()","command,collaborator,boolean_verifier",sampleFiles/rtorrent-master/cpp files/command_dynamic_test.cpp,32,31,
CommandDynamicTest::test_get_set,"void
CommandDynamicTest::test_get_set()","command,collaborator,boolean_verifier",sampleFiles/rtorrent-master/cpp files/command_dynamic_test.cpp,38,37,
CommandDynamicTest::test_old_style,"void
CommandDynamicTest::test_old_style()","command,collaborator,boolean_verifier",sampleFiles/rtorrent-master/cpp files/command_dynamic_test.cpp,48,47,
GameTest::setUp,void GameTest::setUp(),"collaborator,stateless,test_initializer",sampleFiles/Bowling-kata-master/GameTest.cpp,28,27,
GameTest::tearDown,void GameTest::tearDown(),"collaborator,test_cleaner",sampleFiles/Bowling-kata-master/GameTest.cpp,33,32,
GameTest::rollMany,"void GameTest::rollMany(int number, int pin)","command,collaborator,stateless,unclassified",sampleFiles/Bowling-kata-master/GameTest.cpp,38,37,
GameTest::testAllGutter,void GameTest::testAllGutter(),"command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/Bowling-kata-master/GameTest.cpp,45,44,
GameTest::testAllOne,void GameTest::testAllOne(),"command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/Bowling-kata-master/GameTest.cpp,51,50,
GameTest::testSpare,void GameTest::testSpare(),"command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/Bowling-kata-master/GameTest.cpp,57,56,
GameTest::testStrike,void GameTest::testStrike(),"command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/Bowling-kata-master/GameTest.cpp,66,65,
GameTest::testPerfectGame,void GameTest::testPerfectGame(),"command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/Bowling-kata-master/GameTest.cpp,75,74,
ThreadTest::StartsNewThread,void ThreadTest::StartsNewThread(),"command,collaborator,boolean_verifier",sampleFiles/gcl_using_cppunit-master/thread_test.cpp,59,58,
ThreadTest::JoinSynchronizes,void ThreadTest::JoinSynchronizes(),"command,collaborator,boolean_verifier",sampleFiles/gcl_using_cppunit-master/thread_test.cpp,77,76,
ThreadTest::setUp,void ThreadTest::setUp(),"collaborator,empty,test_initializer",sampleFiles/gcl_using_cppunit-master/thread_test.cpp,88,87,
ThreadTest::tearDown,void ThreadTest::tearDown(),"collaborator,empty,test_cleaner",sampleFiles/gcl_using_cppunit-master/thread_test.cpp,93,92,
ThreadTest::suite,CppUnit::Test* ThreadTest::suite(),"non-void-command,collaborator,unclassified",sampleFiles/gcl_using_cppunit-master/thread_test.cpp,98,97,
PartsFactoryTest::setUp,void PartsFactoryTest::setUp(),"collaborator,test_initializer",sampleFiles/robotWars-master/cpp files/PartsFactoryTest.cpp,7,6,
PartsFactoryTest::tearDown,void PartsFactoryTest::tearDown(),"collaborator,test_cleaner",sampleFiles/robotWars-master/cpp files/PartsFactoryTest.cpp,20,19,
PartsFactoryTest::testGetPart,void PartsFactoryTest::testGetPart(),"command,collaborator,equality_verifier",sampleFiles/robotWars-master/cpp files/PartsFactoryTest.cpp,33,32,
RoundRobinTest::setUp,void RoundRobinTest::setUp(),"command,collaborator,test_initializer",sampleFiles/robotWars-master/cpp files/RoundRobinTest.cpp,7,6,
RoundRobinTest::tearDown,void RoundRobinTest::tearDown(),"collaborator,test_cleaner",sampleFiles/robotWars-master/cpp files/RoundRobinTest.cpp,17,16,
RoundRobinTest::testDamage,void RoundRobinTest::testDamage(),"command,collaborator,equality_verifier",sampleFiles/robotWars-master/cpp files/RoundRobinTest.cpp,25,24,
RoundRobinTest::testRefreshRate,void RoundRobinTest::testRefreshRate(),"command,collaborator,equality_verifier",sampleFiles/robotWars-master/cpp files/RoundRobinTest.cpp,32,31,
RoundRobinTest::testRechargeUpdate,void RoundRobinTest::testRechargeUpdate(),"command,collaborator,equality_verifier",sampleFiles/robotWars-master/cpp files/RoundRobinTest.cpp,66,65,
RoundRobinTest::testEmptyVector,void RoundRobinTest::testEmptyVector(),"command,collaborator,equality_verifier",sampleFiles/robotWars-master/cpp files/RoundRobinTest.cpp,100,99,
MechBuilderTest::setUp,void MechBuilderTest::setUp(),"collaborator,stateless,test_initializer",sampleFiles/robotWars-master/cpp files/MechBuilderTest.cpp,6,5,
MechBuilderTest::tearDown,void MechBuilderTest::tearDown(),"collaborator,test_cleaner",sampleFiles/robotWars-master/cpp files/MechBuilderTest.cpp,11,10,
MechBuilderTest::testConstructor,void MechBuilderTest::testConstructor(),"command,collaborator,equality_verifier,public_field_verifier",sampleFiles/robotWars-master/cpp files/MechBuilderTest.cpp,17,16,
MechTest::setUp,void MechTest::setUp(),"collaborator,test_initializer",sampleFiles/robotWars-master/cpp files/MechTest.cpp,6,5,
MechTest::tearDown,void MechTest::tearDown(),"collaborator,test_cleaner",sampleFiles/robotWars-master/cpp files/MechTest.cpp,17,16,
MechTest::testConstructor,void MechTest::testConstructor(),"command,collaborator,boolean_verifier,equality_verifier,exception_verifier,hybrid_verifier,public_field_verifier",sampleFiles/robotWars-master/cpp files/MechTest.cpp,28,27,
MechTest::testAddWeapons,void MechTest::testAddWeapons(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/robotWars-master/cpp files/MechTest.cpp,50,49,
MechTest::testAttack,void MechTest::testAttack(),"command,collaborator,equality_verifier,public_field_verifier",sampleFiles/robotWars-master/cpp files/MechTest.cpp,67,66,
